author_clean,race,gender,log10_hits,count
Admiral Frank Jack Fletcher,white,male,4.00432137378264,1
Admiral Grace Hopper,white,female,4.78604121024255,1
Admiral John Fisher,white,male,3.99475694458763,1
Admiral William Halsey,white,male,4.61384182187607,1
Adolf Eichmann,white,male,5.855519156,1
Adolf Grünbaum,white,male,4.75891189239797,1
Adolf Guggenbhuhl-Craig,white,male,4.10037054511756,2
Adolf Hitler,white,male,7.149219113,10
Adolf Loos,white,male,6.21748394421391,5
Adolfo Perez Esquivel,latino,male,5.041393,1
Adolph Hitler,white,male,5.93901977644867,1
Adolph S. Ochs,white,male,4.92737036303902,1
Adolph Saphir,white,male,4.53019969820308,1
Adolphe Tanqueray,white,male,3.42975228000241,1
Adoniram Judson,white,male,5.48713837547719,4
Adora Svitak,asian,female,4.5327543789925,2
Adrian Cowell,white,male,4.43136376415899,1
Adrian Cronauer,white,male,5.06445798922692,2
Adrian Edmondson,white,male,5.13672056715641,3
Adrian Furnham,white,male,5.411619706,1
Adrian G. Hilder,white,male,3.32221929473392,2
Adrian Grenier,white,male,5.54900326202579,3
Adrian Lyne,white,male,5.44715803134222,1
Adrian McKinty,white,male,5.881954971,3
Adrian Peterson,black,male,6.09691,1
Adrian Rogers,white,male,5.58883172559421,4
Adrian Tan,asian,male,5.792392,1
Adrian Tchaikovsky,white,male,5.65896484266444,2
Adrian Tomine,asian,male,5.597695,1
Adriana Locke,white,female,4.86805636182304,2
Adriana Mather,white,female,5.06818586174616,2
Adriana Trigiani,white,female,5.24797326636181,10
Adriane Leigh,white,female,4.73319726510657,1
Adrianne Palicki,white,female,6.01703333929878,1
Adrien Brody,white,male,6.45331834004704,1
Adrien-Marie Legendre,white,male,4.95230800966212,1
Adrienne Barbeau,white,female,5.58433122436753,1
Adrienne Maria Vrettos,white,female,4.13672056715641,1
Adrienne Mayor,white,female,4.85973856619715,1
Adrienne Rich,white,female,5.68033551341456,10
Adrienne Stoltz,white,female,3.91009054559407,2
Adrienne Vaughan,white,female,4.34242268082221,1
Adrienne deWolfe,white,female,3.64443858946784,1
